,001_turnover,002_morning_diff,003_ov_momentum,004_asym_ov,005_tug_of_war,006_rv_momentum,007,008,009,010,011,012,013,014,015,016,017,018,019
2024-05-10,0.12342569269521411,0.11754827875734676,0.08312342569269521,0.07976490344248531,0.07556675062972293,0.17380352644836272,0.020990764063811923,0.042821158690176324,0.018471872376154493,0.02938706968933669,0.0109151973131822,0.007556675062972292,0.012594458438287154,0.02938706968933669,0.026028547439126783,0.037783375314861464,0.022670025188916875,0.04534005037783375,0.042821158690176324
2024-05-13,0.1205020920502092,0.1205020920502092,0.07782426778242678,0.0803347280334728,0.08284518828451883,0.17489539748953975,0.018410041841004185,0.04184100418410042,0.01506276150627615,0.0301255230125523,0.01506276150627615,0.0100418410041841,0.01506276150627615,0.02510460251046025,0.02092050209205021,0.031799163179916316,0.023430962343096235,0.042677824267782424,0.05355648535564853
2024-05-14,0.12063227953410982,0.11896838602329451,0.08652246256239601,0.08652246256239601,0.07820299500831947,0.17554076539101499,0.01913477537437604,0.045757071547420966,0.014143094841930116,0.024958402662229616,0.010815307820299502,0.009983361064891847,0.015806988352745424,0.025790349417637273,0.025790349417637273,0.029950083194675542,0.024126455906821963,0.03993344425956739,0.04742096505823627
2024-05-15,0.12156536219816819,0.115736885928393,0.0890924229808493,0.07243963363863447,0.07243963363863447,0.17901748542880933,0.02497918401332223,0.041631973355537054,0.012489592006661115,0.02997502081598668,0.012489592006661115,0.006661115736885929,0.014154870940882597,0.02497918401332223,0.02414654454621149,0.04079933388842631,0.02331390507910075,0.04329725228975854,0.0507910074937552
2024-05-16,0.1310116086235489,0.11857379767827529,0.08291873963515754,0.08208955223880597,0.07960199004975124,0.1625207296849088,0.022388059701492536,0.03980099502487562,0.014096185737976783,0.026533996683250415,0.011608623548922056,0.01077943615257048,0.014096185737976783,0.026533996683250415,0.02321724709784411,0.03814262023217247,0.024875621890547265,0.04311774461028192,0.04809286898839138
2024-05-17,0.11614497528830313,0.1186161449752883,0.085667215815486,0.09060955518945635,0.07331136738056013,0.17957166392092258,0.02471169686985173,0.04036243822075782,0.01400329489291598,0.023064250411861616,0.01070840197693575,0.009884678747940691,0.01400329489291598,0.028830313014827018,0.0214168039538715,0.03789126853377265,0.022240527182866558,0.042833607907743,0.04612850082372323
2024-05-20,0.12903225806451613,0.12324234904880066,0.08188585607940446,0.08354011579818031,0.076095947063689,0.16459884201819686,0.022332506203473945,0.04052936311000827,0.014061207609594707,0.03391232423490488,0.011579818031430935,0.010752688172043012,0.009925558312655087,0.022332506203473945,0.026468155500413565,0.034739454094292806,0.02315963606286187,0.0413564929693962,0.050454921422663356
2024-05-21,0.1362126245847176,0.12043189368770764,0.07475083056478406,0.0872093023255814,0.07973421926910298,0.1744186046511628,0.01744186046511628,0.04318936877076412,0.009136212624584718,0.029069767441860465,0.012458471760797342,0.007475083056478406,0.009966777408637873,0.027408637873754152,0.01744186046511628,0.0340531561461794,0.023255813953488372,0.04401993355481727,0.05232558139534884
2024-05-22,0.1297071129707113,0.12217573221757322,0.07866108786610879,0.08117154811715481,0.08200836820083682,0.1707112970711297,0.0200836820083682,0.045188284518828455,0.010878661087866108,0.03347280334728033,0.011715481171548118,0.0100418410041841,0.012552301255230125,0.026778242677824266,0.023430962343096235,0.03347280334728033,0.02092050209205021,0.03933054393305439,0.04769874476987448
2024-05-23,0.12458471760797342,0.12458471760797342,0.08222591362126246,0.08222591362126246,0.08388704318936877,0.1719269102990033,0.018272425249169437,0.03986710963455149,0.014950166112956811,0.03488372093023256,0.011627906976744186,0.008305647840531562,0.012458471760797342,0.029069767441860465,0.02408637873754153,0.03488372093023256,0.019933554817275746,0.040697674418604654,0.04152823920265781
2024-05-24,0.13094245204336946,0.12010008340283569,0.07923269391159299,0.0750625521267723,0.08090075062552127,0.16263552960800667,0.01751459549624687,0.0475396163469558,0.016680567139282735,0.03252710592160134,0.010008340283569641,0.009174311926605505,0.010008340283569641,0.02585487906588824,0.027522935779816515,0.040033361134278564,0.02418682235195997,0.041701417848206836,0.04837364470391994
2024-05-27,0.1288445552784705,0.12219451371571072,0.07813798836242726,0.07647547797173733,0.07481296758104738,0.17290108063175394,0.0199501246882793,0.0457190357439734,0.010806317539484621,0.0399002493765586,0.013300083125519535,0.00914380714879468,0.00914380714879468,0.02826267664172901,0.02743142144638404,0.032418952618453865,0.02743142144638404,0.03657522859517872,0.046550290939318374
2024-05-28,0.1270764119601329,0.1212624584717608,0.08056478405315615,0.07724252491694353,0.0755813953488372,0.16362126245847175,0.018272425249169437,0.04152823920265781,0.015780730897009966,0.03571428571428571,0.01079734219269103,0.01079734219269103,0.012458471760797342,0.030730897009966777,0.026578073089700997,0.0340531561461794,0.024916943521594685,0.046511627906976744,0.046511627906976744
2024-05-29,0.12790697674418605,0.12043189368770764,0.07973421926910298,0.07308970099667775,0.08388704318936877,0.16943521594684385,0.018272425249169437,0.04568106312292359,0.015780730897009966,0.0340531561461794,0.009966777408637873,0.008305647840531562,0.011627906976744186,0.02574750830564784,0.02574750830564784,0.03903654485049834,0.02574750830564784,0.04401993355481727,0.04152823920265781
2024-05-30,0.13129644921552436,0.11312964492155243,0.07762180016515277,0.07597027250206441,0.08340214698596202,0.16845582163501238,0.016515276630883566,0.03963666391412056,0.016515276630883566,0.03468208092485549,0.009083402146985962,0.00990916597853014,0.011560693641618497,0.0305532617671346,0.023947151114781174,0.02972749793559042,0.03303055326176713,0.042939719240297276,0.05202312138728324
2024-05-31,0.12841756420878211,0.11847555923777962,0.08533554266777134,0.08036454018227009,0.07539353769676885,0.1632145816072908,0.016570008285004142,0.043910521955260975,0.01988400994200497,0.033140016570008285,0.007456503728251864,0.0115990057995029,0.010770505385252692,0.026512013256006627,0.02568351284175642,0.033140016570008285,0.030654515327257662,0.04225352112676056,0.04722452361226181
2024-06-03,0.1300745650372825,0.1275890637945319,0.08450704225352113,0.07456503728251865,0.0811930405965203,0.1632145816072908,0.018227009113504555,0.04722452361226181,0.020712510356255178,0.028169014084507043,0.012427506213753107,0.009113504556752278,0.012427506213753107,0.02568351284175642,0.029826014913007456,0.030654515327257662,0.026512013256006627,0.03645401822700911,0.041425020712510356
2024-06-04,0.13234077750206782,0.1273779983457403,0.0794044665012407,0.06865177832919768,0.08436724565756824,0.15963606286186932,0.01902398676592225,0.04631927212572374,0.02481389578163772,0.02729528535980149,0.015715467328370553,0.005789909015715467,0.013234077750206782,0.018196856906534328,0.02729528535980149,0.03391232423490488,0.01902398676592225,0.04466501240694789,0.05293631100082713
2024-06-05,0.13166666666666665,0.11583333333333333,0.0725,0.07166666666666667,0.08166666666666667,0.17333333333333334,0.015,0.05,0.020833333333333332,0.034166666666666665,0.013333333333333334,0.01,0.009166666666666667,0.02,0.029166666666666667,0.03833333333333333,0.023333333333333334,0.04083333333333333,0.049166666666666664
2024-06-06,0.12385702410640066,0.11554447215295095,0.08146300914380715,0.07065669160432253,0.0798004987531172,0.1862011637572735,0.015793848711554447,0.046550290939318374,0.019118869492934332,0.03158769742310889,0.012468827930174564,0.00831255195344971,0.014131338320864505,0.025768911055694097,0.025768911055694097,0.03574397339983375,0.0199501246882793,0.04239401496259352,0.04488778054862843
2024-06-07,0.13798836242726517,0.1230257689110557,0.0773067331670823,0.07647547797173733,0.08229426433915212,0.16541978387364922,0.01828761429758936,0.04405652535328346,0.02660016625103907,0.030756442227763924,0.011637572734829594,0.00914380714879468,0.00997506234413965,0.022443890274314215,0.03325020781379884,0.034912718204488775,0.0199501246882793,0.03740648379052369,0.03906899418121363
2024-06-11,0.1346153846153846,0.12040133779264214,0.07859531772575251,0.06856187290969899,0.07692307692307693,0.17725752508361203,0.020066889632107024,0.047658862876254184,0.0225752508361204,0.030100334448160536,0.010033444816053512,0.011705685618729096,0.013377926421404682,0.023411371237458192,0.028428093645484948,0.029264214046822744,0.019230769230769232,0.04431438127090301,0.043478260869565216
2024-06-12,0.11946532999164577,0.11862990810359231,0.07268170426065163,0.07769423558897243,0.07685881370091896,0.18629908103592313,0.022556390977443608,0.04594820384294068,0.020885547201336674,0.031746031746031744,0.011695906432748537,0.012531328320802004,0.00835421888053467,0.015873015873015872,0.026733500417710943,0.03926482873851295,0.02422723475355054,0.04177109440267335,0.04678362573099415
2024-06-13,0.1335559265442404,0.11853088480801335,0.07762938230383973,0.07011686143572621,0.08263772954924875,0.17946577629382304,0.022537562604340568,0.04674457429048414,0.021702838063439065,0.025041736227045076,0.012520868113522538,0.007512520868113523,0.01669449081803005,0.019198664440734557,0.02337228714524207,0.03672787979966611,0.02003338898163606,0.03923205342237062,0.04674457429048414
2024-06-14,0.14104729729729729,0.12077702702702703,0.07263513513513513,0.07601351351351351,0.07179054054054054,0.17314189189189189,0.024493243243243243,0.048986486486486486,0.013513513513513514,0.02533783783783784,0.014358108108108109,0.01097972972972973,0.015202702702702704,0.021114864864864864,0.02364864864864865,0.04054054054054054,0.021114864864864864,0.04054054054054054,0.044763513513513514
2024-06-17,0.132890365448505,0.11710963455149502,0.07890365448504984,0.07475083056478406,0.08222591362126246,0.16777408637873753,0.026578073089700997,0.050664451827242524,0.01910299003322259,0.027408637873754152,0.009136212624584718,0.009966777408637873,0.014119601328903655,0.020764119601328904,0.024916943521594685,0.03820598006644518,0.019933554817275746,0.036544850498338874,0.049003322259136214
2024-06-18,0.125,0.12083333333333333,0.075,0.07666666666666666,0.07916666666666666,0.17416666666666666,0.020833333333333332,0.0525,0.0175,0.0275,0.008333333333333333,0.010833333333333334,0.01,0.018333333333333333,0.034166666666666665,0.035833333333333335,0.02,0.04,0.05333333333333334
2024-06-19,0.13538205980066445,0.11295681063122924,0.0739202657807309,0.07308970099667775,0.07890365448504984,0.1744186046511628,0.02159468438538206,0.05232558139534884,0.015780730897009966,0.026578073089700997,0.01079734219269103,0.012458471760797342,0.01079734219269103,0.020764119601328904,0.023255813953488372,0.03986710963455149,0.022425249169435217,0.040697674418604654,0.05398671096345515
2024-06-20,0.13416666666666666,0.12333333333333334,0.07833333333333334,0.07916666666666666,0.07916666666666666,0.16166666666666665,0.020833333333333332,0.0575,0.018333333333333333,0.023333333333333334,0.01,0.010833333333333334,0.01,0.0225,0.025833333333333333,0.035,0.02,0.04,0.05
2024-06-21,0.12992455993294216,0.1165129924559933,0.07795473595976529,0.07376362112321877,0.08382229673093043,0.16932103939647947,0.020117351215423303,0.05280804694048617,0.012573344509639563,0.03269069572506287,0.01173512154233026,0.010058675607711651,0.015088013411567477,0.024308466051969825,0.02179379715004191,0.03436714165968147,0.020117351215423303,0.04358759430008382,0.04945515507124895
2024-06-24,0.13905079100749376,0.115736885928393,0.08742714404662781,0.07993338884263114,0.08492922564529559,0.16652789342214822,0.02331390507910075,0.04829308909242298,0.017485428809325562,0.03164029975020816,0.011656952539550375,0.010824313072439634,0.009991673605328892,0.02414654454621149,0.02164862614487927,0.034970857618651124,0.01582014987510408,0.03913405495420483,0.03746877601998335
2024-06-25,0.12844036697247707,0.12844036697247707,0.0817347789824854,0.07339449541284404,0.08507089241034195,0.16263552960800667,0.020850708924103418,0.05087572977481234,0.01751459549624687,0.03419516263552961,0.010008340283569641,0.010842368640533779,0.0158465387823186,0.021684737281067557,0.021684737281067557,0.040033361134278564,0.0158465387823186,0.03919933277731443,0.041701417848206836
2024-06-26,0.1261487050960735,0.1261487050960735,0.0835421888053467,0.0810359231411863,0.0860484544695071,0.15622389306599832,0.017543859649122806,0.05179615705931495,0.01921470342522974,0.03007518796992481,0.00835421888053467,0.011695906432748537,0.015037593984962405,0.026733500417710943,0.020885547201336674,0.042606516290726815,0.02172096908939014,0.03341687552213868,0.04177109440267335
2024-06-27,0.12148760330578512,0.1231404958677686,0.08099173553719008,0.07272727272727272,0.08016528925619834,0.17355371900826447,0.019834710743801654,0.05371900826446281,0.019834710743801654,0.03140495867768595,0.00909090909090909,0.005785123966942148,0.01818181818181818,0.02231404958677686,0.02066115702479339,0.03884297520661157,0.026446280991735537,0.03553719008264463,0.04628099173553719
2024-06-28,0.12003311258278146,0.11258278145695365,0.08609271523178808,0.07864238410596026,0.0802980132450331,0.15894039735099338,0.0173841059602649,0.054635761589403975,0.022350993377483443,0.03145695364238411,0.009105960264900662,0.01076158940397351,0.0173841059602649,0.020695364238410598,0.02566225165562914,0.042218543046357616,0.024006622516556293,0.03890728476821192,0.048841059602649006
2024-07-01,0.12778235779060182,0.11541632316570487,0.0741962077493817,0.07996702390766694,0.08408903544929926,0.16323165704863973,0.021434460016488046,0.048639736191261336,0.021434460016488046,0.028854080791426217,0.009068425391591096,0.010717230008244023,0.01483924154987634,0.023083264633140973,0.026380873866446827,0.03544929925803792,0.026380873866446827,0.03957131079967024,0.0494641384995878
2024-07-02,0.12354892205638475,0.11691542288557213,0.07462686567164178,0.07711442786069651,0.08706467661691543,0.15920398009950248,0.020729684908789386,0.04809286898839138,0.028192371475953566,0.04228855721393035,0.004975124378109453,0.01077943615257048,0.01824212271973466,0.022388059701492536,0.019071310116086235,0.03565505804311774,0.026533996683250415,0.03980099502487562,0.04477611940298507
2024-07-03,0.12773109243697478,0.11596638655462185,0.06974789915966387,0.08571428571428572,0.08823529411764706,0.15798319327731092,0.02100840336134454,0.04453781512605042,0.024369747899159664,0.04285714285714286,0.0058823529411764705,0.008403361344537815,0.010924369747899159,0.020168067226890758,0.025210084033613446,0.034453781512605045,0.025210084033613446,0.04789915966386555,0.043697478991596636
2024-07-04,0.12023217247097844,0.12354892205638475,0.06716417910447761,0.08955223880597014,0.08208955223880597,0.1625207296849088,0.01658374792703151,0.05306799336650083,0.02404643449419569,0.03316749585406302,0.005804311774461028,0.01077943615257048,0.014096185737976783,0.022388059701492536,0.026533996683250415,0.03482587064676617,0.02570480928689884,0.04809286898839138,0.03980099502487562
2024-07-05,0.12531328320802004,0.1111111111111111,0.06766917293233082,0.0860484544695071,0.09273182957393483,0.16624895572263992,0.020050125313283207,0.04845446950710108,0.02506265664160401,0.031746031746031744,0.005847953216374269,0.011695906432748537,0.01670843776106934,0.01670843776106934,0.026733500417710943,0.026733500417710943,0.029239766081871343,0.05012531328320802,0.04177109440267335
2024-07-08,0.12324234904880066,0.11248966087675766,0.07278742762613731,0.08105872622001654,0.09015715467328371,0.1588089330024814,0.016542597187758478,0.04962779156327544,0.02564102564102564,0.02977667493796526,0.004962779156327543,0.014061207609594707,0.010752688172043012,0.02315963606286187,0.02977667493796526,0.03887510339123242,0.030603804797353185,0.043837882547559964,0.043837882547559964
2024-07-09,0.12956810631229235,0.11461794019933555,0.0681063122923588,0.07973421926910298,0.0888704318936877,0.16611295681063123,0.020764119601328904,0.04318936877076412,0.03156146179401993,0.03156146179401993,0.005813953488372093,0.011627906976744186,0.012458471760797342,0.014950166112956811,0.03239202657807309,0.0340531561461794,0.029069767441860465,0.03986710963455149,0.04568106312292359
2024-07-10,0.12771285475792987,0.10934891485809682,0.07011686143572621,0.08096828046744574,0.09098497495826377,0.166110183639399,0.021702838063439065,0.045075125208681135,0.03171953255425709,0.02671118530884808,0.005008347245409015,0.014190317195325543,0.012520868113522538,0.02003338898163606,0.03589315525876461,0.0333889816360601,0.02921535893155259,0.040901502504173626,0.038397328881469114
2024-07-11,0.13032581453634084,0.11278195488721804,0.06432748538011696,0.07936507936507936,0.0785296574770259,0.1695906432748538,0.020050125313283207,0.040100250626566414,0.02756892230576441,0.03592314118629908,0.003341687552213868,0.015037593984962405,0.014202172096908938,0.020885547201336674,0.03842940685045948,0.036758563074352546,0.03258145363408521,0.040100250626566414,0.040100250626566414
2024-07-12,0.12395309882747069,0.10804020100502512,0.06867671691792294,0.08040201005025126,0.09128978224455611,0.15912897822445563,0.022613065326633167,0.046063651591289785,0.02763819095477387,0.03098827470686767,0.005862646566164154,0.018425460636515914,0.006700167504187605,0.02847571189279732,0.031825795644891124,0.031825795644891124,0.036013400335008376,0.04103852596314908,0.04103852596314908
2024-07-15,0.12521008403361344,0.10840336134453782,0.06470588235294118,0.08151260504201681,0.0949579831932773,0.15546218487394958,0.013445378151260505,0.040336134453781515,0.030252100840336135,0.03529411764705882,0.0058823529411764705,0.014285714285714285,0.011764705882352941,0.019327731092436976,0.031932773109243695,0.04201680672268908,0.04201680672268908,0.03949579831932773,0.043697478991596636
2024-07-16,0.12197159565580618,0.10275689223057644,0.059314954051796154,0.0810359231411863,0.0835421888053467,0.1670843776106934,0.01921470342522974,0.050960735171261484,0.026733500417710943,0.03592314118629908,0.006683375104427736,0.015873015873015872,0.010025062656641603,0.02756892230576441,0.03926482873851295,0.02756892230576441,0.03759398496240601,0.04427736006683375,0.042606516290726815
2024-07-17,0.12093411175979983,0.09591326105087573,0.07005838198498748,0.08590492076730609,0.0884070058381985,0.15846538782318598,0.0158465387823186,0.04837364470391994,0.02418682235195997,0.03836530442035029,0.004170141784820684,0.02335279399499583,0.007506255212677231,0.030025020850708923,0.03836530442035029,0.03586321934945788,0.0316930775646372,0.03669724770642202,0.045871559633027525
2024-07-18,0.12093411175979983,0.10508757297748124,0.06672226855713094,0.09257714762301918,0.07839866555462886,0.15095913261050875,0.021684737281067557,0.05504587155963303,0.021684737281067557,0.030025020850708923,0.011676396997497914,0.016680567139282735,0.007506255212677231,0.020850708924103418,0.041701417848206836,0.041701417848206836,0.03336113427856547,0.045871559633027525,0.03753127606338615
2024-07-19,0.12458471760797342,0.10299003322259136,0.06478405315614617,0.0872093023255814,0.08388704318936877,0.17524916943521596,0.019933554817275746,0.04568106312292359,0.026578073089700997,0.03571428571428571,0.009136212624584718,0.011627906976744186,0.0049833887043189366,0.02159468438538206,0.030730897009966777,0.027408637873754152,0.03239202657807309,0.04401993355481727,0.05149501661129568
2024-07-22,0.13327814569536423,0.09850993377483444,0.06456953642384106,0.0935430463576159,0.08609271523178808,0.15811258278145696,0.0173841059602649,0.04718543046357616,0.020695364238410598,0.03890728476821192,0.009105960264900662,0.009933774834437087,0.009933774834437087,0.033112582781456956,0.026490066225165563,0.03642384105960265,0.029801324503311258,0.04470198675496689,0.042218543046357616
2024-07-23,0.12342569269521411,0.11083123425692695,0.0688497061293031,0.0948782535684299,0.08396305625524769,0.15533165407220823,0.019311502938706968,0.04534005037783375,0.020151133501259445,0.036943744752308987,0.005877413937867338,0.012594458438287154,0.005877413937867338,0.030226700251889168,0.026028547439126783,0.036943744752308987,0.033585222502099076,0.04617968094038623,0.0436607892527288
2024-07-24,0.12510425354462051,0.1134278565471226,0.06839032527105922,0.10091743119266056,0.07756463719766472,0.15846538782318598,0.022518765638031693,0.043369474562135114,0.01834862385321101,0.03753127606338615,0.009174311926605505,0.010842368640533779,0.003336113427856547,0.030859049207673062,0.026688907422852376,0.0408673894912427,0.03336113427856547,0.040033361134278564,0.03919933277731443
2024-07-25,0.12020033388981637,0.11101836393989983,0.0676126878130217,0.08848080133555926,0.08347245409015025,0.164440734557596,0.028380634390651086,0.04340567612687813,0.017529215358931552,0.0325542570951586,0.010851419031719533,0.014190317195325543,0.005843071786310518,0.0333889816360601,0.017529215358931552,0.040901502504173626,0.0333889816360601,0.049248747913188645,0.037562604340567615
2024-07-26,0.1135407905803196,0.1152228763666947,0.06812447434819176,0.09503784693019345,0.08074011774600505,0.16736753574432295,0.021026072329688814,0.04121110176619008,0.022708158116063918,0.02943650126156434,0.009251471825063078,0.011774600504625737,0.00672834314550042,0.02943650126156434,0.024390243902439025,0.04205214465937763,0.03784693019343986,0.045416316232127836,0.03868797308662742
2024-07-29,0.12205387205387205,0.11784511784511785,0.0723905723905724,0.09764309764309764,0.0765993265993266,0.15235690235690236,0.021043771043771045,0.041245791245791245,0.017676767676767676,0.037037037037037035,0.011784511784511785,0.006734006734006734,0.010101010101010102,0.029461279461279462,0.022727272727272728,0.034511784511784514,0.0361952861952862,0.050505050505050504,0.04208754208754209
2024-07-30,0.12305168170631665,0.11812961443806398,0.07383100902378999,0.09433962264150944,0.07793273174733388,0.15504511894995898,0.022149302707136997,0.043478260869565216,0.01804757998359311,0.03691550451189499,0.008203445447087777,0.01066447908121411,0.006562756357670222,0.029532403609515995,0.026251025430680888,0.02871205906480722,0.04101722723543889,0.0475799835931091,0.03855619360131255
2024-07-31,0.12706270627062707,0.11138613861386139,0.07260726072607261,0.09488448844884488,0.07425742574257425,0.1617161716171617,0.02392739273927393,0.040429042904290426,0.020627062706270627,0.03712871287128713,0.007425742574257425,0.009900990099009901,0.007425742574257425,0.036303630363036306,0.0231023102310231,0.03547854785478548,0.03547854785478548,0.0429042904290429,0.037953795379537955
2024-08-01,0.11882845188284519,0.11548117154811716,0.06778242677824267,0.08368200836820083,0.08284518828451883,0.16903765690376568,0.023430962343096235,0.04351464435146443,0.015899581589958158,0.03598326359832636,0.009205020920502092,0.014225941422594143,0.010878661087866108,0.022594142259414227,0.022594142259414227,0.038493723849372385,0.03598326359832636,0.04686192468619247,0.042677824267782424
2024-08-02,0.11953833470733718,0.10717230008244023,0.08161582852431987,0.09563066776586975,0.07914262159934048,0.1640560593569662,0.023907666941467436,0.04286892003297609,0.015663643858202802,0.038746908491343775,0.00494641384995878,0.00741962077493817,0.009068425391591096,0.023907666941467436,0.0247320692497939,0.03544929925803792,0.03544929925803792,0.05028854080791426,0.0403957131079967
2024-08-05,0.12178956089478045,0.115990057995029,0.07456503728251865,0.08699254349627175,0.07705053852526926,0.164043082021541,0.021541010770505385,0.043910521955260975,0.0231980115990058,0.03396851698425849,0.006628003314001657,0.009113504556752278,0.014084507042253521,0.02899751449875725,0.029826014913007456,0.029826014913007456,0.033140016570008285,0.04225352112676056,0.04308202154101077
2024-08-06,0.12176814011676397,0.10925771476230192,0.0817347789824854,0.08924103419516263,0.08340283569641367,0.1609674728940784,0.029190992493744787,0.043369474562135114,0.022518765638031693,0.0475396163469558,0.0025020850708924102,0.009174311926605505,0.011676396997497914,0.020850708924103418,0.022518765638031693,0.02835696413678065,0.03336113427856547,0.0408673894912427,0.041701417848206836
2024-08-07,0.1302170283806344,0.11686143572621036,0.07512520868113523,0.09432387312186978,0.08430717863105175,0.15191986644407346,0.025041736227045076,0.038397328881469114,0.019198664440734557,0.049248747913188645,0.005843071786310518,0.010851419031719533,0.01335559265442404,0.024207011686143573,0.022537562604340568,0.03171953255425709,0.034223706176961605,0.03589315525876461,0.03672787979966611
2024-08-08,0.12217573221757322,0.11129707112970712,0.06610878661087866,0.09623430962343096,0.0803347280334728,0.15648535564853555,0.02594142259414226,0.04184100418410042,0.02092050209205021,0.0502092050209205,0.0066945606694560665,0.012552301255230125,0.01506276150627615,0.02510460251046025,0.02594142259414226,0.029288702928870293,0.035146443514644354,0.042677824267782424,0.03598326359832636
2024-08-09,0.12096106048053024,0.11184755592377796,0.08285004142502071,0.08864954432477216,0.07787903893951947,0.16487158243579123,0.024026512013256007,0.03976801988400994,0.0231980115990058,0.03976801988400994,0.008285004142502071,0.0115990057995029,0.010770505385252692,0.018227009113504555,0.024855012427506214,0.0347970173985087,0.03396851698425849,0.045567522783761395,0.03811101905550953
2024-08-12,0.11666666666666667,0.11166666666666666,0.06666666666666667,0.09166666666666666,0.08333333333333333,0.17166666666666666,0.0275,0.04416666666666667,0.025833333333333333,0.035833333333333335,0.009166666666666667,0.015,0.015833333333333335,0.02666666666666667,0.021666666666666667,0.029166666666666667,0.035833333333333335,0.035,0.03666666666666667
2024-08-13,0.1172069825436409,0.11886949293433084,0.06650041562759768,0.09559434746467166,0.08229426433915212,0.16209476309226933,0.020781379883624274,0.03906899418121363,0.0199501246882793,0.04738154613466334,0.00997506234413965,0.015793848711554447,0.014962593516209476,0.02493765586034913,0.020781379883624274,0.032418952618453865,0.03325020781379884,0.03740648379052369,0.040731504571903575
2024-08-14,0.12417218543046357,0.10927152317880795,0.0695364238410596,0.09271523178807947,0.08526490066225166,0.16804635761589404,0.024006622516556293,0.039735099337748346,0.026490066225165563,0.042218543046357616,0.009105960264900662,0.01076158940397351,0.015728476821192054,0.022350993377483443,0.020695364238410598,0.033112582781456956,0.0347682119205298,0.03559602649006623,0.03642384105960265
2024-08-15,0.11857379767827529,0.12603648424543948,0.07379767827529021,0.09369817578772803,0.0845771144278607,0.15671641791044777,0.02404643449419569,0.04228855721393035,0.020729684908789386,0.03648424543946932,0.009950248756218905,0.012437810945273632,0.011608623548922056,0.02736318407960199,0.02321724709784411,0.03399668325041459,0.03316749585406302,0.03316749585406302,0.03814262023217247
2024-08-16,0.1245819397993311,0.11789297658862877,0.07692307692307693,0.09364548494983277,0.08612040133779264,0.15802675585284282,0.020066889632107024,0.042642140468227424,0.024247491638795988,0.03177257525083612,0.00919732441471572,0.01839464882943144,0.01254180602006689,0.0225752508361204,0.0225752508361204,0.033444816053511704,0.03762541806020067,0.038461538461538464,0.029264214046822744
2024-08-19,0.12375415282392027,0.11212624584717608,0.0755813953488372,0.09385382059800665,0.08056478405315615,0.1669435215946844,0.02408637873754153,0.03737541528239203,0.023255813953488372,0.03156146179401993,0.007475083056478406,0.013289036544850499,0.016611295681063124,0.02408637873754153,0.019933554817275746,0.030730897009966777,0.03488372093023256,0.04318936877076412,0.040697674418604654
2024-08-20,0.1251035625517813,0.11847555923777962,0.07125103562551781,0.10024855012427507,0.08036454018227009,0.1623860811930406,0.028169014084507043,0.04059652029826015,0.024026512013256007,0.030654515327257662,0.009942004971002486,0.012427506213753107,0.016570008285004142,0.02568351284175642,0.018227009113504555,0.02899751449875725,0.028169014084507043,0.037282518641259324,0.041425020712510356
2024-08-21,0.11940298507462686,0.11028192371475953,0.06882255389718077,0.09286898839137644,0.08872305140961857,0.1625207296849088,0.02155887230514096,0.04477611940298507,0.02404643449419569,0.03731343283582089,0.01077943615257048,0.014925373134328358,0.011608623548922056,0.028192371475953566,0.019071310116086235,0.03150912106135987,0.03150912106135987,0.0406301824212272,0.04145936981757877
2024-08-22,0.1212624584717608,0.11461794019933555,0.07225913621262459,0.09551495016611296,0.08305647840531562,0.1511627906976744,0.020764119601328904,0.044850498338870434,0.02574750830564784,0.02823920265780731,0.013289036544850499,0.01079734219269103,0.015780730897009966,0.02408637873754153,0.020764119601328904,0.03488372093023256,0.03156146179401993,0.04817275747508306,0.04318936877076412
2024-08-23,0.12209302325581395,0.10714285714285714,0.07807308970099668,0.0946843853820598,0.08056478405315615,0.1569767441860465,0.02159468438538206,0.03737541528239203,0.023255813953488372,0.03571428571428571,0.008305647840531562,0.014119601328903655,0.014119601328903655,0.02823920265780731,0.02159468438538206,0.036544850498338874,0.03820598006644518,0.03820598006644518,0.04318936877076412
2024-08-26,0.11798679867986799,0.11221122112211221,0.08168316831683169,0.0891089108910891,0.07755775577557755,0.15759075907590758,0.02145214521452145,0.04207920792079208,0.026402640264026403,0.037953795379537955,0.007425742574257425,0.013201320132013201,0.01485148514851485,0.024752475247524754,0.0165016501650165,0.03547854785478548,0.034653465346534656,0.04537953795379538,0.04372937293729373
2024-08-27,0.11847555923777962,0.10190555095277548,0.07622203811101906,0.0936205468102734,0.07953603976801989,0.16735708367854185,0.024026512013256007,0.03976801988400994,0.024855012427506214,0.03976801988400994,0.006628003314001657,0.01739850869925435,0.01739850869925435,0.027340513670256836,0.026512013256006627,0.0347970173985087,0.030654515327257662,0.03231151615575808,0.041425020712510356
2024-08-28,0.1282051282051282,0.10918114143920596,0.08023159636062861,0.08850289495450786,0.076095947063689,0.152191894127378,0.01902398676592225,0.03722084367245657,0.028949545078577336,0.036393713813068655,0.0024813895781637717,0.01488833746898263,0.01488833746898263,0.03143093465674111,0.019851116625310174,0.033085194375516956,0.03391232423490488,0.04631927212572374,0.04714640198511166
